status	ID	ocean	location	site	lat_long	date_collected	collection_ID	raw lat long	collector	permit
ONT	SEA2025-Ph201	SW Pacific	Chatham Rise	Chatham Rise	-44.379, -174.7119	4/12/2025	S321-006-NT	-44.379, -174.7119	Kayla Gardner	
ONT	SEA2025-Ph203	SW Pacific	Chatham Rise	Chatham Rise	-44.1875, -172.0034	4/13/2025	S321-008-NT	-44.1875, -172.0034	Kayla Gardner	
ONT	SEA2025-Ph209	SW Pacific	Chatham Rise	Chatham Rise	-44.1278, -170.5246	4/13/2025	S321-009-NT	-44.1278, -170.5246	Matt Bihrle	
ONT	SEA2025-Ph211	SW Pacific	Chatham Rise	Chatham Rise	-44.1278, -170.5246	4/13/2025	S321-009-NT	-44.1278, -170.5246	Charlotte Subak	
ONT	SEA2025-Ph214	SW Pacific	Chatham Rise	Chatham Rise	-44.1484, -168.6386	4/14/2025	S321-010-NT	-44.1484, -168.6386	Kayla Gardner	
ONT	SEA2025-Ph218	SW Pacific	Chatham Rise	Chatham Rise	-44.1484, -168.6386	4/14/2025	S321-010-NT	-44.1484, -168.6386	Ella Skonieczny	
ONT	SEA2025-Ph221	SW Pacific	Chatham Rise	Chatham Rise	-44.1484, -168.6386	4/14/2025	S321-010-NT	-44.1484, -168.6386	Resh Mukherjee	
ONT	SEA2025-Ph225	SW Pacific	Chatham Rise	Chatham Rise	-44.1484, -168.6386	4/14/2025	S321-010-NT	-44.1484, -168.6386	Resh Mukherjee	
ONT	SEA2025-Ph227	SW Pacific	Chatham Rise	Chatham Rise	-44.1484, -168.6386	4/14/2025	S321-010-NT	-44.1484, -168.6386	Andrew Patterson	
ONT	SEA2025-Ph233	SW Pacific	Chatham Rise	Chatham Rise	-44.1484, -168.6386	4/14/2025	S321-010-NT	-44.1484, -168.6386	Andrew Patterson	
ONT	SEA2025-Ph239	SW Pacific	SSPG	SSPG	-42.0516, -163.6116	4/15/2025	S321-013-NT	-42.0516, -163.6116	Kayla Gardner	
ONT	SEA2025-Ph240	SW Pacific	SSPG	SSPG	-42.0516, -163.6116	4/15/2025	S321-013-NT	-42.0516, -163.6116	Kayla Gardner	
ONT	SEA2025-Ph250	SW Pacific	SSPG	SSPG	-40.913, -160.7361	4/18/2025	S321-015-NT	-40.913, -160.7361	Kayla Gardner	
ONT	SEA2025-Ph252	SW Pacific	SSPG	SSPG	-39.997, -159.8781	4/16/2025	S321-016-NT	-39.997, -159.8781	Gabriela Carttar	
ONT	SEA2025-Ph255	SW Pacific	SSPG	SSPG	-38.9942, -159.2183	4/17/2025	S321-017-NT	-38.9942, -159.2183	Robin Muse	
ONT	SEA2025-Ph256	SW Pacific	SSPG	SSPG	-38.9942, -159.2183	4/17/2025	S321-017-NT	-38.9942, -159.2183	Robin Muse	
ONT	SEA2025-Ph259	SW Pacific	SSPG	SSPG	-38.9942, -159.2183	4/17/2025	S321-017-NT	-38.9942, -159.2183	Robin Muse	
ONT	SEA2025-Ph262	SW Pacific	SSPG	SSPG	-38.086, -158.1278	4/18/2025	S321-019-NT	-38.086, -158.1278	Britney Durward	
ONT	SEA2025-Ph264	SW Pacific	SSPG	SSPG	-38.086, -158.1278	4/18/2025	S321-019-NT	-38.086, -158.1278	Britney Durward	
ONT	SEA2025-Ph265	SW Pacific	SSPG	SSPG	-38.086, -158.1278	4/18/2025	S321-019-NT	-38.086, -158.1278	Kayla Gardner	
ONT	SEA2025-Ph268	SW Pacific	SSPG	SSPG	-37.8622, -157.3125	4/18/2025	S321-020-NT	-37.8622, -157.3125	Charlotte Subak	
ONT	SEA2025-Ph270	SW Pacific	SSPG	SSPG	-37.7368, -155.9019	4/19/2025	S321-021-NT	-37.7368, -155.9019	Georgia Akins	
ONT	SEA2025-Ph271	SW Pacific	SSPG	SSPG	-37.6771, -152.8922	4/20/2025	S321-023-NT	-37.6771, -152.8922	Robin Muse	
ONT	SEA2025-Ph272	SW Pacific	SSPG	SSPG	-37.6771, -152.8922	4/20/2025	S321-023-NT	-37.6771, -152.8922	Olivia Hines	
ONT	SEA2025-Ph273	SW Pacific	SSPG	SSPG	-37.6771, -152.8922	4/20/2025	S321-023-NT	-37.6771, -152.8922	Henry Penfold	
ONT	SEA2025-Ph276	SW Pacific	SSPG	SSPG	-37.6739, -152.4066	4/20/2025	S321-024-DN	-37.6739, -152.4066	Henry Penfold	
ONT	SEA2025-Ph277	SW Pacific	CSPG	CSPG	-33.2307, -150.657	4/23/2025	S321-030-NT	-33.2307, -150.657	Robin Muse
high quality	YPM-IZ-111759	SW Pacific	SW Pacific	SW Pacific	-42.9904, -171.8936	4/4/2024	S314_011_NT	-42.9904, -171.8936	Sarah Kingston	
high quality	YPM-IZ-111760	SW Pacific	SW Pacific	SW Pacific	-42.9904, -171.8936	4/4/2024	S314_011_NT	-42.9904, -171.8936	Sarah Kingston	
high quality	YPM-IZ-111806	SW Pacific	SW Pacific	SW Pacific	-40.7571, -160.2461	4/10/2024	S314_022_NT	-40.7571, -160.2461	Sarah Kingston	
high quality	YPM-IZ-111813	SW Pacific	SW Pacific	SW Pacific	-40.3934, -157.4145	4/11/2024	S314_024_NT	-40.3934, -157.4145	Sarah Kingston	
high quality	YPM-IZ-111814	SW Pacific	SW Pacific	SW Pacific	-39.9432, -150.5674	4/14/2024	S314_030_NT	-39.9432, -150.5674	Sarah Kingston	
high quality	YPM-IZ-111816	SW Pacific	SW Pacific	SW Pacific	-39.9432, -150.5674	4/14/2024	S314_030_NT	-39.9432, -150.5674	Sarah Kingston	
high quality	YPM-IZ-111819	SW Pacific	SW Pacific	SW Pacific	-39.4507, -147.9547	4/15/2024	S314_032_NT	-39.4507, -147.9547	Sarah Kingston	
high quality	YPM-IZ-111820	SW Pacific	SW Pacific	SW Pacific	-39.0466, -146.9608	4/15/2024	S314_033_NT	-39.0466, -146.9608	Sarah Kingston	
high quality	YPM-IZ-111822	SW Pacific	SW Pacific	SW Pacific	-38.5976, -145.8245	4/16/2024	S314_034_NT	-38.5976, -145.8245	Sarah Kingston	
high quality	YPM-IZ-111825	SW Pacific	SW Pacific	SW Pacific	-38.4242, -143.9851	4/17/2024	S314_036_NT	-38.4242, -143.9851	Sarah Kingston
