id	corrected_species
119222	
124388	megalista
2669651	utriculus
2870262	
6758889	
7185893	utriculus
7445614	
8477148	
8995586	
9754539	
9918022	megalista
10416304	
11029786	
11209406	minuta
13545653	megalista
14115323	megalista
22202832	utriculus
28514032	megalista
30469304	
32227353	
35529650	minuta
35876780	minuta
35979139	minuta
36141187	minuta
36352793	minuta
36460277	minuta
37190342	minuta
37237482	minuta
39047401	
41187611	
54377206	utriculus
56395958	megalista
62799763	utriculus
63837193	minuta
66652036	minuta
66790863	minuta
66834122	
68992035	utriculus
73776869	
73776880	
83377564	megalista
85188915	megalista
85241507	megalista
86973878	minuta
88488793	utriculus
92931419	utriculus
99525153	megalista
99656606	megalista
100431302	
101128934	
101383065	
102880168	
140339469	utriculus
140399581	minuta
142050858	
190226050	megalista
191772358	
192060279	megalista
192086349	minuta
192745368	megalista
193240922	minuta
194044578	
194857338	minuta
195620095	megalista
196193235	
197914535	
200380607	
200840907	
211515082	
235094382	utriculus
241117931	
244876026	minuta
245909033	
245909045	minuta
247758026	minuta
247758189	
248414994	
257217813	minuta
257938159	minuta
258143186	minuta
259649935	minuta
18528620	
96672458	megalista
127883819	
193235229	minuta
262412543	utriculus
291465550	
292323828	utriculus
293937460	
300859832	
304936663	utriculus
1929757	
19846356	
21351442	
113743530	
145734364	
151805539	
169761254	
186671283	
192855913	
199107034	
245909034	
249116633	
257088284	
265662998	
10564178	
36459519	
103805356	
157460952	
