id	corrected_species
14874196	megalista
97427009	megalista
190566056	megalista
216398438	megalista
238905321	megalista
258557927	megalista
258565431	megalista
292413519	
213781961	minuta
303666043	physalis
303834883	physalis
11897260	physalis
83306696	physalis
104176421	physalis
147903641	physalis
2543752	utriculus
92202664	utriculus
180532840	utriculus
292323828	utriculus
30995891	utriculus
36497806	utriculus
259189785	utriculus
259916009	utriculus
74177373	utriculus
100179624	utriculus
107072679	utriculus
135334914	utriculus
19643045	
64333782	
98159954	
104153077	
112951645	
125862274	
135447128	
138218578	
143711936	
148020762	
181017665	
182563850	
195146967	
235275526	
262412543	
275212481	
291356862	
291678704	
293759311	
293937460	
296977143	
297201567	
300514624	
304891476	
304891632	
304891692	
9527997	
61277527	
101832736	
127883819	
135855677	
135855698	
148600056	
155515495	
189939836	
258689040	
284621672	
298664660	
300859832	
1952061	
63608826	
291465550	
72470647	
76708077	physalis
241793627	megalista
66763227	megalista
105337004	megalista
122438849	megalista
139299568	megalista
188336616	megalista
194806106	megalista
4944245	minuta
36280512	minuta
36280527	minuta
36280546	minuta
36280613	minuta
36280682	minuta
36280703	minuta
36280769	minuta
36280778	minuta
36280801	minuta
36280905	minuta
38704031	minuta
102984671	minuta
107466536	minuta
267453747	minuta
1934984	utriculus
2738567	utriculus
31457704	utriculus
33242962	utriculus
45083615	utriculus
54697399	utriculus
57788881	utriculus
58559763	utriculus
59057434	utriculus
63800631	utriculus
74249571	utriculus
98719388	utriculus
101500772	utriculus
101577468	utriculus
106677753	utriculus
106864127	utriculus
134630519	utriculus
137037825	utriculus
139104871	utriculus
169574792	utriculus
175397192	utriculus
177781694	utriculus
182398359	utriculus
182729410	utriculus
184473607	utriculus
186094686	utriculus
197499466	utriculus
199440572	utriculus
218441010	utriculus
239550110	utriculus
249047027	utriculus
263783677	utriculus
297875387	utriculus
152439127	utriculus
33602463	utriculus
98198555	utriculus
18398127	
18528620	
18942869	
24876858	
305064199	
20445513	
66409321	
196743359	
261292756	
270962548	
270962553	
271404118	
2956804	
5229161	
5477718	
5606067	
73549605	
99389971	
107606478	
134533595	
148219745	
151184303	
188798481	
271867248	
100335572	
105457295	
105634778	
109847009	
115576014	
12374516	
128932287	
138219584	
139163423	
143331532	
146816680	
151631609	
169319232	
17252002	
185466451	
190258036	
192445696	
194393509	
194685822	
195988752	
196093209	
197171970	
198031809	
198601460	
203058951	
214345053	
224499237	
229037545	
233312136	
244816609	
246739240	
246773206	
250190492	
250393184	
250410289	
251161880	
252063838	
253986780	
254599395	
255714895	
255730709	
256964719	
257990905	
259389984	
265722451	
270968264	
30083320	
37816498	
40440668	
58135549	
61539159	
79879628	
82488871	
97225976	
99515366	
119200305	
152815374	
162055748	
192759829	
230693145	
243919922	
272820712	
37358637	
50360738	
98585760	
139110146	
146120145	
186413989	
260631163	
121529812	megalista
102769952	physalis
150494950	physalis
150659978	physalis
207759725	physalis
261361696	physalis
261362502	physalis
278526246	physalis
47744970	physalis
193235229	utriculus
199955270	utriculus
260334730	utriculus
293607513	utriculus
91117579	utriculus
109749383	
190968629	
196244883	
253213587	
91591051	
254988351	
198795899	
22802465	
259139194	
36874181	
199400072	
137240786	megalista
142195038	utriculus
17210302	
183023753	utriculus
184762913	utriculus
187457756	
286054119	utriculus
59425331	megalista
8450629	
373405	megalista
248970883	
287789351	utriculus
300585046	
302812335	
305198454	megalista
250392880	utriculus
250393120	utriculus
250391054	
255033401	
37211498	
267475423	
304936663	utriculus
301309407	
96672458	utriculus
