id,observed_on,latitude,longitude
216,2008-05-05,37.226398468,-122.4110031128
724,2008-09-20,36.6276016235,-121.9169998169
1174,2008-10-19,32.8533439636,-117.2598266602
1245,2009-01-10,32.8487319946,-117.2647171021
2748,2009-05-25,36.5441551208,-121.9339447021
2839,2007-02-18,-7.2640093465,72.4962768369
3132,2009-07-10,30.1869792938,-85.7333602905
3165,2009-08-01,36.6121139526,-121.8945007324
3311,2009-09-05,36.6121139526,-121.8945007324
3445,2009-06-21,-7.4294408609,72.5433946935
8176,2009-02-22,34.0301971436,-118.6819152832
8353,2010-09-25,34.0043182373,-118.8033218384
8524,2010-10-09,33.4615631104,-117.6862564087
8525,2010-10-09,33.4616699219,-117.6867294312
27203,2008-07-05,41.3852129429,-71.5295791626
29493,2011-08-28,33.7164938764,-118.3197283745
33738,2011-07-17,-4.9979220896,122.8601074219
33870,2011-07-21,-5.0143387185,122.8820800781
34169,2011-07-28,-4.9596150247,122.8820800781
34475,2011-08-05,-5.466996707,123.7692260742
34478,2011-08-05,-5.466996707,123.7692260742
34482,2011-08-05,-5.466996707,123.7692260742
34496,2011-08-07,-5.4663131845,123.7664794922
34500,2011-08-07,-5.4663131845,123.7664794922
34587,2011-08-14,-5.4333333,123.7666667
34592,2011-08-14,-5.4333333,123.7666667
34859,2011-08-21,-5.4333333,123.7666667
34868,2011-08-21,-5.4333333,123.7666667
34879,2011-08-23,-5.4333333,123.7666667
34884,2011-08-23,-5.4333333,123.7666667
35181,2011-08-28,-5.4333333,123.7666667
35193,2011-08-28,-5.4333333,123.7666667
35196,2011-08-28,-5.4333333,123.7666667
35226,2011-08-31,-5.4333333,123.7666667
35236,2011-08-31,-5.4333333,123.7666667
35298,2011-09-30,32.8406775,-117.2587935
37481,2011-10-28,37.2264671221,-122.4111270905
39882,2011-11-11,32.8406775,-117.2587935
40708,2011-10-16,21.4933645991,-158.2339382172
41054,2011-12-03,21.3514206696,-158.1329154968
41586,2011-05-07,21.3527796379,-158.1336021423
41835,2010-03-06,21.3532592708,-158.1338596344
42747,2010-01-05,21.8977297086,-159.5838618279
45208,2011-12-29,41.250263,-72.540839
47313,2007-11-30,-10.5734389002,105.708820876
47319,2007-11-30,-10.5600552204,105.7115391546
47326,2007-12-02,-10.4760437536,105.669160369
47327,2007-12-02,-10.5455317315,105.6918277514
47336,2007-12-05,-10.581828204,105.654619559
47337,2007-12-05,-10.5631213986,105.6750338352
48034,2012-01-18,37.0229695249,-122.2152400017
48743,2007-11-28,-12.1170403366,96.8954658508
51501,2009-06-12,58.3019444,-134.4197222
55252,2012-03-04,32.6698678802,-117.245372482
57487,2006-10-26,-18.988931,-169.904927
57488,2006-10-26,-19.0974839557,-169.8117348421
57492,2006-10-25,-19.099813638,-169.7069453336
57506,2006-10-24,-19.104,-169.917
57507,2006-10-24,-19.104,-169.917
57508,2006-10-24,-19.104,-169.917
57509,2006-10-24,-19.104,-169.917
57526,2006-10-21,-18.9709805701,-169.9397401742
65866,2011-12-31,-6.2742406076,39.5365977974
69638,2012-04-20,36.5445158297,-121.9323899763
71547,2012-04-28,47.4033793952,-122.329998023
72778,2012-04-22,47.9253693,-122.6834913
78023,2012-05-11,47.7226969027,-122.5140380859
78096,2008-05-11,12.2048043854,-68.3180133451
79166,2012-05-10,35.53983,-121.092053
79362,2012-05-12,36.5134253304,-121.9465152487
87994,2012-05-26,48.5513671,-123.0781062
89228,2012-06-07,37.494975,-122.499239
89317,2012-06-07,37.4937229653,-122.4981198307
90568,2008-05-15,12.2083896802,-68.323328985
91318,2012-06-07,37.495053,-122.49875
91319,2012-06-07,37.493217,-122.499611
92986,2012-06-17,21.449089,-158.190704
93625,2012-06-07,37.494513,-122.497173
93905,2012-06-05,37.49318,-122.499603
93913,2012-06-05,37.493288,-122.498945
101135,2012-07-07,17.6432004903,-63.218990597
103124,2012-07-10,17.4766809826,-62.9934698179
103203,2012-07-11,17.475289,-62.971089
103354,2012-07-13,21.1323828333,-86.7426609993
105047,2012-07-17,45.280442927,14.5680427551
107194,2010-05-09,18.653324,-68.366369
113192,2010-07-22,43.3080615199,-124.4014747127
113193,2010-07-22,43.3080615199,-124.4014747127
113759,2012-07-08,-0.2934194,130.2168991
127357,2012-07-10,-0.5,130.0
