ID	source	specimen_ID	ocean	location	site	lat_long	date_collected	collection_ID	collector	permit	collection_status	sequencing_status	YCGA_ID	date_seq	resequencing_note	WGS_SRA_accession	mitogenome_accession
FM-16644	Church et al. 2025		NE Atlantic	Canary Islands	La Palma	28.591940, -17.920910	5/14/2023		Tauana Cunha, Juan Moles		high quality	sequenced	FM16644	10/16/23		SRR28498736	PZ224317
TMAG-K5632	Church et al. 2025		SW Pacific	Tasmania	Bicheno: Redbill Beach	-41.863900, 148.286500	1/14/2023		N. G. Wilson		moderate quality	resequenced	KM5632	10/20/23	Resequenced as part of the original Church et al. 2025 study (originally sequenced 6/18/23), not new data for this manuscript. WGS_SRA_accession (SRR28498728) already contains the data for this specimen.	SRR28498728	PZ224322
TMAG-K5633	Church et al. 2025		SW Pacific	Tasmania	Bicheno: Redbill Beach	-41.863900, 148.286500	1/14/2023		N. G. Wilson		moderate quality	resequenced	KM5633	10/20/23	Resequenced as part of the original Church et al. 2025 study (originally sequenced 6/18/23), not new data for this manuscript. WGS_SRA_accession (SRR28498727) already contains the data for this specimen.	SRR28498727	PZ224323
TMAG-K5634	Church et al. 2025		SW Pacific	Tasmania	Bicheno: Redbill Beach	-41.863900, 148.286500	1/14/2023		N. G. Wilson		moderate quality	sequenced	KM5634	6/18/23		SRR28498726	PZ224324
TMAG-K5635	Church et al. 2025		SW Pacific	Tasmania	Bicheno: Redbill Beach	-41.863900, 148.286500	1/14/2023		N. G. Wilson		moderate quality	sequenced	KM5635	8/19/23		SRR28498785	PZ224325
TMAG-K5636	Church et al. 2025		SW Pacific	Tasmania	Bicheno: Redbill Beach	-41.863900, 148.286500	1/14/2023		N. G. Wilson		moderate quality	sequenced	KM5636	8/19/23		SRR28498784	PZ224326
WAM-Z88480	Church et al. 2025		E Indian	Western Australia	Peasholm Dog Beach, Scarborough	-31.908144, 115.754811	8/3/2018	NA	K. Tullis		high quality	resequenced	Z88480	10/15/23	Resequenced as part of the original Church et al. 2025 study (originally sequenced 9/14/23), not new data for this manuscript. WGS_SRA_accession (SRR28498838) already contains the data for this specimen.	SRR28498838	PZ224327
WAM-Z97900	Church et al. 2025	WA 1	E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 1	N. G. Wilson, N. Tatarnic		high quality	sequenced	Z97900	9/14/23		SRR28498837	PZ224328
WAM-Z97901	Church et al. 2025	WA 2	E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 2	N. G. Wilson, N. Tatarnic		high quality	sequenced	Z97901	9/14/23		SRR28498836	PZ224329
WAM-Z97902	Church et al. 2025	WA 3	E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 3	N. G. Wilson, N. Tatarnic		high quality	sequenced	Z97902	10/30/23		SRR28498835	PZ224330
WAM-Z97903	Church et al. 2025	WA 4	E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 4	N. G. Wilson, N. Tatarnic		high quality	sequenced	Z97903	9/14/23		SRR28498834	PZ224331
WAM-Z97906	Church et al. 2025	WA 7	E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 7	N. G. Wilson, N. Tatarnic		high quality	sequenced	Z97906	9/14/23		SRR28498833	PZ224332
WAM-Z97907	Church et al. 2025	WA 8	E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 8	N. G. Wilson, N. Tatarnic		high quality	sequenced	Z97907	10/30/23		SRR28498832	PZ224333
WAM-Z97908	Church et al. 2025	WA 9	E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 9	N. G. Wilson, N. Tatarnic		high quality	sequenced	Z97908	10/30/23		SRR28498831	PZ224334
WAM-Z97910	Church et al. 2025	WA 11	E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 11	N. G. Wilson, N. Tatarnic		high quality	sequenced	Z97910	10/30/23		SRR28498829	PZ224336
WAM-Z97911	Church et al. 2025	WA 12	E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 12	N. G. Wilson, N. Tatarnic		high quality	sequenced	Z97911	10/30/23		SRR28498828	PZ224337
WAM-Z97914	Church et al. 2025	WA 15	E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 15	N. G. Wilson, N. Tatarnic		high quality	sequenced	Z97914	10/30/23		SRR28498827	PZ224338
WAM-Z97916	Church et al. 2025	WA 17	E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 17	N. G. Wilson, N. Tatarnic		high quality	sequenced	Z97916	10/30/23		SRR28498826	PZ224339
WAM-Z97917	Church et al. 2025		SW Pacific	New South Wales	North Steyne, Queenscliff Beach, Manly	-33.787002, 151.288609	1/18/2019	NSW n.1	N. Lo		high quality	sequenced	Z97917	10/16/23		SRR28498825	PZ224340
WAM-Z97920	Church et al. 2025	NSW l.p.	SW Pacific	New South Wales	La Perouse, Sydney	-33.987424, 151.231329	2/5/2018	NSW l.p.	Y. K. Tea		high quality	sequenced	Z97920	9/14/23		SRR28498824	PZ224341
WAM-Z97921	Church et al. 2025	1	SW Pacific	Queensland	Dicky Beach, Caloundra, Sunshine Coast	-26.784003, 153.140596	1/19/2019	1	G. Cobb		high quality	sequenced	Z97921	9/14/23		SRR28498823	PZ224342
WAM-Z97923	Church et al. 2025	QLD d.b3	SW Pacific	Queensland	Dicky Beach, Caloundra, Sunshine Coast	-26.784003, 153.140596	1/19/2019	QLD d.b3	G. Cobb		high quality	sequenced	Z97923	10/30/23		SRR28498822	PZ224343
YPM-IZ-104460	Church et al. 2025	Guam_104460	NW Pacific	Guam		13.427861, 144.798518	11/23/2018	Guam_104460	David Burdick	Guam Department of Agriculture, Division of Aquatic and Wildlife Resources	high quality	sequenced	G104460	4/18/23		SRR28498735	PZ224344
YPM-IZ-104461	Church et al. 2025	Guam_104461	NW Pacific	Guam		13.427861, 144.798518	11/23/2018	Guam_104461	David Burdick	Guam Department of Agriculture, Division of Aquatic and Wildlife Resources	high quality	sequenced	G104461	4/18/23		SRR28498734	PZ224345
YPM-IZ-104464	Church et al. 2025	Guam_104464	NW Pacific	Guam		13.427861, 144.798518	11/23/2018	Guam_104464	David Burdick	Guam Department of Agriculture, Division of Aquatic and Wildlife Resources	high quality	sequenced	NA24	12/23/22		SRR28498783	PZ224346
YPM-IZ-104465	Ahuja et al. 2024	Guam_104465	NW Pacific	Guam		13.427861, 144.798518	11/23/2018	Guam_104465	David Burdick	Guam Department of Agriculture, Division of Aquatic and Wildlife Resources	high quality	sequenced	NA22	12/23/22		SRR23143271	OQ957220
YPM-IZ-106919	Church et al. 2025	Japan_2	NW Pacific	Japan		35.307390, 139.480651	11/19/2020	Japan_2	Gaku Yamamoto		high quality	sequenced	2gDNA	4/18/23		SRR28498747	PZ224347
YPM-IZ-106920	Church et al. 2025	Japan_3	NW Pacific	Japan		35.307390, 139.480651	11/19/2020	Japan_3	Gaku Yamamoto		high quality	sequenced	3gDNA	2/23/23		SRR28498746	PZ224348
YPM-IZ-106923	Church et al. 2025	Japan_6	NW Pacific	Japan		35.307390, 139.480651	11/19/2020	Japan_6	Gaku Yamamoto		high quality	sequenced	6gDNA	2/23/23		SRR28498740	PZ224349
YPM-IZ-106935	Church et al. 2025	TX2016_043	Gulf of Mexico	Texas		29.19532, -94.8429383	3/2/2016	13_TX2016_043	Catriona Munro		high quality	sequenced	13TX	4/18/23		SRR28498749	PZ224350
YPM-IZ-106936	Church et al. 2025	TX2016_046	Gulf of Mexico	Texas		29.19532, -94.8429383	3/3/2016	TX2016_046	Catriona Munro		high quality	sequenced	42TX	4/18/23		SRR28498745	PZ224351
YPM-IZ-106937	Church et al. 2025	TX2016_048	Gulf of Mexico	Texas		29.19532, -94.8429383	3/3/2016	TX2016_048	Catriona Munro		high quality	sequenced	59TX	4/18/23		SRR28498743	PZ224352
