accession	geo_loc_name	lat_lon	organism
AB377546.1	Pacific Ocean		Physalia physalis
AF358065.1			Physalia physalis
AF358066.1			Physalia utriculus
AY512511.1			Physalia utriculus
AY935284.1			Physalia physalis
AY935286.1			Rhizophysa filiformis
AY935309.1			Rhizophysa eysenhardtii
AY937327.1			Rhizophysa filiformis
AY937351.1			Rhizophysa eysenhardtii
AY937374.1			Physalia physalis
AY937377.1			Rhizophysa filiformis
FJ847271.1	New Zealand		Physalia sp. DRP-2009
FJ847272.1	New Zealand		Physalia sp. DRP-2009
FJ847273.1	New Zealand		Physalia sp. DRP-2009
FJ847274.1	New Zealand		Physalia sp. DRP-2009
FJ847275.1	New Zealand		Physalia sp. DRP-2009
FJ847276.1	New Zealand		Physalia sp. DRP-2009
FJ847277.1	New Zealand		Physalia sp. DRP-2009
FJ847278.1	New Zealand		Physalia sp. DRP-2009
FJ847279.1	New Zealand		Physalia sp. DRP-2009
FJ847280.1	New Zealand		Physalia sp. DRP-2009
FJ847281.1	New Zealand		Physalia sp. DRP-2009
FJ847282.1	New Zealand		Physalia sp. DRP-2009
FJ847283.1	New Zealand		Physalia sp. DRP-2009
FJ847284.1	New Zealand		Physalia sp. DRP-2009
FJ847285.1	New Zealand		Physalia sp. DRP-2009
FJ847286.1	New Zealand		Physalia sp. DRP-2009
FJ847287.1	New Zealand		Physalia sp. DRP-2009
FJ847288.1	New Zealand		Physalia sp. DRP-2009
FJ847289.1	New Zealand		Physalia sp. DRP-2009
FJ847290.1	New Zealand		Physalia sp. DRP-2009
FJ847291.1	New Zealand		Physalia sp. DRP-2009
FJ847292.1	New Zealand		Physalia sp. DRP-2009
FJ847293.1	New Zealand		Physalia sp. DRP-2009
FJ847294.1	New Zealand		Physalia sp. DRP-2009
FJ847295.1	New Zealand		Physalia sp. DRP-2009
FJ847296.1	New Zealand		Physalia sp. DRP-2009
FJ847297.1	New Zealand		Physalia sp. DRP-2009
FJ847298.1	New Zealand		Physalia sp. DRP-2009
FJ847299.1	New Zealand		Physalia sp. DRP-2009
FJ847300.1	New Zealand		Physalia sp. DRP-2009
FJ847301.1	New Zealand		Physalia sp. DRP-2009
FJ847302.1	Australia		Physalia sp. DRP-2009
FJ847303.1	Australia		Physalia sp. DRP-2009
FJ847304.1	Australia		Physalia sp. DRP-2009
FJ847305.1	Australia		Physalia sp. DRP-2009
FJ847306.1	Australia		Physalia sp. DRP-2009
FJ847307.1	Australia		Physalia sp. DRP-2009
FJ847308.1	Australia		Physalia sp. DRP-2009
FJ847309.1	New Zealand		Physalia sp. DRP-2009
FJ847310.1	New Zealand		Physalia sp. DRP-2009
FJ847311.1	New Zealand		Physalia sp. DRP-2009
