sample	species	clade_size	support	identified_in_clade	unanimous
SEA2025-Ph201	Physalia minuta	2	100	1	yes
SEA2025-Ph203	Physalia minuta	11	100	5	yes
SEA2025-Ph209	Physalia minuta	3	59	1	yes
SEA2025-Ph211	Physalia minuta	3	85	1	yes
SEA2025-Ph214	Physalia minuta	2	100	1	yes
SEA2025-Ph218	Physalia minuta	2	83	1	yes
SEA2025-Ph221	Physalia minuta	4	100	1	yes
SEA2025-Ph225	Physalia minuta	11	100	5	yes
SEA2025-Ph227	Physalia megalista	3	89	2	yes
SEA2025-Ph233	Physalia minuta	2	98	1	yes
SEA2025-Ph239	Physalia minuta	5	98	1	yes
SEA2025-Ph240	Physalia minuta	4	92	1	yes
SEA2025-Ph250	Physalia minuta	4	92	1	yes
SEA2025-Ph252	Physalia minuta	4	100	1	yes
SEA2025-Ph255	Physalia minuta	3	82	1	yes
SEA2025-Ph256	Physalia minuta	2	100	1	yes
SEA2025-Ph259	Physalia minuta	7	100	2	yes
SEA2025-Ph262	Physalia minuta	3	82	1	yes
SEA2025-Ph264	Physalia minuta	2	100	1	yes
SEA2025-Ph265	Physalia minuta	4	99	2	yes
SEA2025-Ph268	Physalia minuta	2	100	1	yes
SEA2025-Ph270	Physalia minuta	2	100	1	yes
SEA2025-Ph271	Physalia minuta	3	100	2	yes
SEA2025-Ph272	Physalia minuta	7	100	2	yes
SEA2025-Ph273	Physalia minuta	3	85	1	yes
SEA2025-Ph276	Physalia minuta	3	100	2	yes
SEA2025-Ph277	Physalia megalista	2	100	1	yes
SEA2025-Ph278	Physalia megalista	2	100	1	yes
