tree	tip
16S	AY512511.1
16S	AY935284.1
16S	AY935286.1
16S	AY935309.1
16S	FM-16644
16S	NIWA-173304
16S	OA-190531-1
16S	OA-Bluebottle
16S	TMAG-K5632
16S	WAM-Z88480
16S	WAM-Z97900
16S	WAM-Z97901
16S	WAM-Z97902
16S	WAM-Z97903
16S	WAM-Z97906
16S	WAM-Z97907
16S	WAM-Z97908
16S	WAM-Z97910
16S	WAM-Z97911
16S	WAM-Z97914
16S	WAM-Z97916
16S	WAM-Z97917
16S	WAM-Z97920
16S	WAM-Z97921
16S	WAM-Z97923
16S	YPM-IZ-104460
16S	YPM-IZ-104461
16S	YPM-IZ-104464
16S	YPM-IZ-104465
16S	YPM-IZ-106919
16S	YPM-IZ-106920
16S	YPM-IZ-106923
16S	YPM-IZ-106936
16S	YPM-IZ-106954
16S	YPM-IZ-106958
16S	YPM-IZ-110264
16S	YPM-IZ-110268
16S	YPM-IZ-110269
16S	YPM-IZ-110276
16S	YPM-IZ-110277
16S	YPM-IZ-110278
16S	YPM-IZ-110433
16S	YPM-IZ-110434
16S	YPM-IZ-110438
16S	YPM-IZ-110443
16S	YPM-IZ-110460
16S	YPM-IZ-110467
16S	YPM-IZ-110468
16S	YPM-IZ-110469
16S	YPM-IZ-110470
16S	YPM-IZ-110471
16S	YPM-IZ-110473
16S	YPM-IZ-110474
16S	YPM-IZ-110480
16S	YPM-IZ-110515
16S	YPM-IZ-110520
16S	YPM-IZ-110526
16S	YPM-IZ-110556
16S	YPM-IZ-110557
16S	YPM-IZ-110558
16S	YPM-IZ-110566
16S	YPM-IZ-110569
16S	YPM-IZ-110600
16S	YPM-IZ-110602
16S	YPM-IZ-110605
16S	YPM-IZ-110612
16S	YPM-IZ-110613
16S	YPM-IZ-110616
16S	YPM-IZ-110631
16S	YPM-IZ-110633
16S	YPM-IZ-110667
16S	YPM-IZ-110694
16S	YPM-IZ-110716
16S	YPM-IZ-110726
16S	YPM-IZ-110738
16S	YPM-IZ-110777
16S	YPM-IZ-110780
16S	YPM-IZ-110785
16S	YPM-IZ-110786
16S	YPM-IZ-110828
16S	YPM-IZ-110829
16S	YPM-IZ-110842
16S	YPM-IZ-110843
16S	YPM-IZ-110844
16S	YPM-IZ-110845
16S	YPM-IZ-110846
16S	YPM-IZ-110847
16S	YPM-IZ-110876
16S	YPM-IZ-110878
16S	YPM-IZ-110881
16S	YPM-IZ-110882
16S	YPM-IZ-110883
16S	YPM-IZ-110906
16S	YPM-IZ-110907
16S	YPM-IZ-110925
16S	YPM-IZ-110926
16S	YPM-IZ-110930
16S	YPM-IZ-110931
16S	YPM-IZ-110933
16S	YPM-IZ-110937
16S	YPM-IZ-110938
16S	YPM-IZ-110943
16S	YPM-IZ-110972
16S	YPM-IZ-111006
16S	YPM-IZ-111007
16S	YPM-IZ-111008
16S	YPM-IZ-111009
16S	YPM-IZ-111010
16S	YPM-IZ-111012
16S	YPM-IZ-111013
16S	YPM-IZ-111014
16S	YPM-IZ-111016
16S	YPM-IZ-111017
16S	YPM-IZ-111018
16S	YPM-IZ-111156
16S	YPM-IZ-111158
16S	YPM-IZ-111159
16S	YPM-IZ-111160
16S	YPM-IZ-111163
16S	YPM-IZ-111207
16S	YPM-IZ-111208
16S	YPM-IZ-111209
16S	YPM-IZ-111210
16S	YPM-IZ-111241
16S	YPM-IZ-111243
16S	YPM-IZ-111495
16S	YPM-IZ-111513
16S	YPM-IZ-111514
16S	YPM-IZ-111517
16S	YPM-IZ-111518
16S	YPM-IZ-111519
16S	YPM-IZ-111520
16S	YPM-IZ-111521
16S	YPM-IZ-111529
16S	YPM-IZ-111530
16S	YPM-IZ-111539
16S	YPM-IZ-111547
16S	YPM-IZ-111839
18S	AF358065.1
18S	AF358066.1
18S	AY937327.1
18S	AY937351.1
18S	FM-16644
18S	NIWA-173304
18S	NIWA-173305
18S	OA-190531-1
18S	OA-Bluebottle
18S	TMAG-K5632
18S	TMAG-K5633
18S	TMAG-K5634
18S	TMAG-K5635
18S	TMAG-K5636
18S	WAM-Z88480
18S	WAM-Z97900
18S	WAM-Z97901
18S	WAM-Z97902
18S	WAM-Z97903
18S	WAM-Z97906
18S	WAM-Z97907
18S	WAM-Z97908
18S	WAM-Z97910
18S	WAM-Z97911
18S	WAM-Z97914
18S	WAM-Z97916
18S	WAM-Z97917
18S	WAM-Z97920
18S	WAM-Z97921
18S	WAM-Z97923
18S	YPM-IZ-104460
18S	YPM-IZ-104461
18S	YPM-IZ-104464
18S	YPM-IZ-104465
18S	YPM-IZ-106919
18S	YPM-IZ-106920
18S	YPM-IZ-106923
18S	YPM-IZ-106935
18S	YPM-IZ-106936
18S	YPM-IZ-106937
18S	YPM-IZ-106941
18S	YPM-IZ-106943
18S	YPM-IZ-106954
18S	YPM-IZ-106958
18S	YPM-IZ-110251
18S	YPM-IZ-110254
18S	YPM-IZ-110264
18S	YPM-IZ-110268
18S	YPM-IZ-110269
18S	YPM-IZ-110276
18S	YPM-IZ-110277
18S	YPM-IZ-110278
18S	YPM-IZ-110433
18S	YPM-IZ-110434
18S	YPM-IZ-110436
18S	YPM-IZ-110438
18S	YPM-IZ-110443
18S	YPM-IZ-110460
18S	YPM-IZ-110467
18S	YPM-IZ-110468
18S	YPM-IZ-110469
18S	YPM-IZ-110470
18S	YPM-IZ-110471
18S	YPM-IZ-110473
18S	YPM-IZ-110474
18S	YPM-IZ-110480
18S	YPM-IZ-110515
18S	YPM-IZ-110520
18S	YPM-IZ-110526
18S	YPM-IZ-110556
18S	YPM-IZ-110557
18S	YPM-IZ-110558
18S	YPM-IZ-110566
18S	YPM-IZ-110569
18S	YPM-IZ-110600
18S	YPM-IZ-110602
18S	YPM-IZ-110605
18S	YPM-IZ-110612
18S	YPM-IZ-110613
18S	YPM-IZ-110616
18S	YPM-IZ-110631
18S	YPM-IZ-110633
18S	YPM-IZ-110667
18S	YPM-IZ-110694
18S	YPM-IZ-110716
18S	YPM-IZ-110726
18S	YPM-IZ-110738
18S	YPM-IZ-110777
18S	YPM-IZ-110780
18S	YPM-IZ-110785
18S	YPM-IZ-110786
18S	YPM-IZ-110828
18S	YPM-IZ-110829
18S	YPM-IZ-110830
18S	YPM-IZ-110842
18S	YPM-IZ-110843
18S	YPM-IZ-110844
18S	YPM-IZ-110845
18S	YPM-IZ-110846
18S	YPM-IZ-110847
18S	YPM-IZ-110876
18S	YPM-IZ-110877
18S	YPM-IZ-110878
18S	YPM-IZ-110880
18S	YPM-IZ-110881
18S	YPM-IZ-110882
18S	YPM-IZ-110883
18S	YPM-IZ-110906
18S	YPM-IZ-110907
18S	YPM-IZ-110925
18S	YPM-IZ-110926
18S	YPM-IZ-110930
18S	YPM-IZ-110931
18S	YPM-IZ-110933
18S	YPM-IZ-110937
18S	YPM-IZ-110938
18S	YPM-IZ-110943
18S	YPM-IZ-110972
18S	YPM-IZ-111006
18S	YPM-IZ-111007
18S	YPM-IZ-111008
18S	YPM-IZ-111009
18S	YPM-IZ-111010
18S	YPM-IZ-111012
18S	YPM-IZ-111013
18S	YPM-IZ-111014
18S	YPM-IZ-111016
18S	YPM-IZ-111017
18S	YPM-IZ-111018
18S	YPM-IZ-111156
18S	YPM-IZ-111157
18S	YPM-IZ-111158
18S	YPM-IZ-111159
18S	YPM-IZ-111160
18S	YPM-IZ-111163
18S	YPM-IZ-111207
18S	YPM-IZ-111208
18S	YPM-IZ-111209
18S	YPM-IZ-111210
18S	YPM-IZ-111241
18S	YPM-IZ-111243
18S	YPM-IZ-111495
18S	YPM-IZ-111513
18S	YPM-IZ-111514
18S	YPM-IZ-111517
18S	YPM-IZ-111518
18S	YPM-IZ-111519
18S	YPM-IZ-111520
18S	YPM-IZ-111521
18S	YPM-IZ-111529
18S	YPM-IZ-111530
18S	YPM-IZ-111539
18S	YPM-IZ-111547
18S	YPM-IZ-111839
18S	YPM-IZ-111840
CO1	AY937374.1
CO1	AY937377.1
CO1	FJ916936.1
CO1	FJ916937.1
CO1	FJ916938.1
CO1	FJ916939.1
CO1	FJ916940.1
CO1	FJ916941.1
CO1	FJ916942.1
CO1	FJ916943.1
CO1	FJ916944.1
CO1	FJ916945.1
CO1	FJ916946.1
CO1	FJ916947.1
CO1	FJ916948.1
CO1	FJ916949.1
CO1	FJ916950.1
CO1	FJ916951.1
CO1	FJ916952.1
CO1	FJ916953.1
CO1	FJ916954.1
CO1	FJ916955.1
CO1	FJ916956.1
CO1	FJ916957.1
CO1	FJ916958.1
CO1	FJ916959.1
CO1	FJ916960.1
CO1	FJ916961.1
CO1	FJ916962.1
CO1	FJ916963.1
CO1	FJ916964.1
CO1	FJ916965.1
CO1	FJ916966.1
CO1	FJ916967.1
CO1	FJ916968.1
CO1	FJ916969.1
CO1	FJ916970.1
CO1	FJ916971.1
CO1	FJ916972.1
CO1	FJ916973.1
CO1	FJ916974.1
CO1	FJ916975.1
CO1	FJ916976.1
CO1	FJ916977.1
CO1	FJ916978.1
CO1	FJ916979.1
CO1	FJ916980.1
CO1	FJ916981.1
CO1	FJ916982.1
CO1	FJ916983.1
CO1	FJ916984.1
CO1	FJ916985.1
CO1	FJ916986.1
CO1	FJ916987.1
CO1	FJ916988.1
CO1	FJ916989.1
CO1	FM-16644
CO1	GQ120032.1
CO1	GQ120033.1
CO1	GQ120034.1
CO1	GQ120038.1
CO1	GQ120039.1
CO1	GQ120040.1
CO1	GQ120041.1
CO1	MK084614.1
CO1	MW277724.1
CO1	NIWA-173304
CO1	NIWA-173305
CO1	OA-190531-1
CO1	OA-Bluebottle
CO1	TMAG-K5632
CO1	TMAG-K5633
CO1	TMAG-K5635
