seq	ocean	location	species	source
AB377546			Physalia physalis	genbank
AB377546.1		Pacific Ocean	Physalia physalis	genbank
AF358065			Physalia physalis	genbank
AF358065.1			Physalia physalis	genbank
AF358066			Physalia physalis	genbank
AF358066.1			Physalia utriculus	genbank
AY512511	SW Pacific	Tasmania	Physalia physalis	genbank
AY512511.1	SW Pacific	Tasmania	Physalia physalis	genbank
AY935284	NW Atlantic	International	Physalia physalis	genbank
AY935284.1	NW Atlantic	International	Physalia physalis	genbank
AY935286			Rhizophysa filiformis	genbank
AY935286.1		Rhizophysa filiformis	Rhizophysa filiformis	genbank
AY935309			Rhizophysa eysenhardtii	genbank
AY935309.1		Rhizophysa eysenhardtii	Rhizophysa eysenhardtii	genbank
AY937327			Rhizophysa filiformis	genbank
AY937327.1		Rhizophysa filiformis	Rhizophysa filiformis	genbank
AY937351			Rhizophysa eysenhardtii	genbank
AY937351.1		Rhizophysa eysenhardtii	Rhizophysa eysenhardtii	genbank
AY937374		International   NW Atlantic	Physalia physalis	genbank
AY937374.1			Physalia physalis	genbank
AY937377			Rhizophysa filiformis	genbank
AY937377.1		Rhizophysa filiformis	Rhizophysa filiformis	genbank
DQ385495			Physalia physalis	genbank
DQ385495.1			Physalia physalis	genbank
DQ385496			Physalia physalis	genbank
DQ385496.1			Physalia physalis	genbank
EU448095			Physalia physalis	genbank
EU448095.1			Physalia physalis	genbank
FJ847271	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847271.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847272	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847272.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847273	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847273.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847274	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847274.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847275	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847275.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847276	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847276.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847277	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847277.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847278	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847278.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847279	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847279.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847280	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847280.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847281	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847281.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847282	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847282.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847283	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847283.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847284	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847284.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847285	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847285.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847286	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847286.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847287	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847287.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847288	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847288.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847289	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847289.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847290	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847290.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847291	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847291.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847292	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847292.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847293	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847293.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847294	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847294.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847295	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847295.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847296	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847296.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847297	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847297.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847298	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847298.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847299	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847299.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847300	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847300.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847301	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847301.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847302	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847302.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847303	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847303.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847304	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847304.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847305	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847305.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847306	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847306.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847307	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847307.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847308	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847308.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847309	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847309.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847310	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847310.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847311	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847311.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847312	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847312.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847313	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847313.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847314	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847314.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847315	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847315.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847316	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847316.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847317	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847317.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847318	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847318.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847319	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847319.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847320	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847320.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847321	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847321.1	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
FJ847322	SW Pacific	New Zealand	Physalia sp. DRP-2009	genbank
