sequence	length	ok	18S_ribosomal_RNA	internal_transcribed_spacer_1	5.8S_ribosomal_RNA	internal_transcribed_spacer_2	28S_ribosomal_RNA
FM-16644	863	yes	1..152	153..386	387..540	541..863	
NIWA-173304	888	yes	1..152	153..413	414..567	568..888	
NIWA-173305	888	yes	1..152	153..413	414..567	568..888	
OA-190531-1	875	yes	1..152	153..398	399..552	553..875	
OA-Bluebottle	875	yes	1..152	153..398	399..552	553..875	
SEA2025-Ph209	887	yes	1..151	152..412	413..566	567..887	
SEA2025-Ph211	888	yes	1..152	153..413	414..567	568..888	
SEA2025-Ph218	887	yes	1..151	152..412	413..566	567..887	
SEA2025-Ph225	887	yes	1..151	152..412	413..566	567..887	
SEA2025-Ph239	888	yes	1..152	153..413	414..567	568..888	
SEA2025-Ph250	887	yes	1..151	152..412	413..566	567..887	
SEA2025-Ph252	887	yes	1..151	152..412	413..566	567..887	
SEA2025-Ph255	888	yes	1..152	153..413	414..567	568..888	
SEA2025-Ph256	887	yes	1..151	152..412	413..566	567..887	
SEA2025-Ph259	888	yes	1..152	153..413	414..567	568..888	
SEA2025-Ph264	887	yes	1..151	152..412	413..566	567..887	
SEA2025-Ph265	888	yes	1..152	153..413	414..567	568..888	
SEA2025-Ph271	888	yes	1..152	153..413	414..567	568..888	
SEA2025-Ph272	888	yes	1..152	153..413	414..567	568..888	
SEA2025-Ph273	875	yes	1..151	152..412	413..566	567..875	
TMAG-K5632	867	yes	1..152	153..392	393..546	547..867	
TMAG-K5633	888	yes	1..152	153..413	414..567	568..888	
TMAG-K5634	876	yes	1..152	153..413	414..567	568..876	
TMAG-K5635	888	yes	1..152	153..413	414..567	568..888	
TMAG-K5636	888	yes	1..152	153..413	414..567	568..888	
WAM-Z88480	867	yes	1..152	153..392	393..546	547..867	
WAM-Z97900	867	yes	1..152	153..392	393..546	547..867	
WAM-Z97901	867	yes	1..152	153..392	393..546	547..867	
WAM-Z97902	875	yes	1..152	153..398	399..552	553..875	
WAM-Z97903	869	yes	1..152	153..394	395..548	549..869	
WAM-Z97906	867	yes	1..152	153..392	393..546	547..867	
WAM-Z97907	875	yes	1..152	153..398	399..552	553..875	
WAM-Z97908	875	yes	1..152	153..398	399..552	553..875	
WAM-Z97909	869	yes	1..152	153..394	395..548	549..869	
WAM-Z97910	875	yes	1..152	153..398	399..552	553..875	
WAM-Z97911	875	yes	1..152	153..398	399..552	553..875	
WAM-Z97914	875	yes	1..152	153..398	399..552	553..875	
WAM-Z97916	875	yes	1..152	153..398	399..552	553..875	
WAM-Z97917	875	yes	1..152	153..398	399..552	553..875	
WAM-Z97920	869	yes	1..152	153..394	395..548	549..869	
WAM-Z97921	875	yes	1..152	153..398	399..552	553..875	
WAM-Z97923	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-104460	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-104461	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-104464	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-104465	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-106919	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-106920	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-106923	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-106935	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-106936	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-106937	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-106941	865	yes	1..152	153..386	387..540	541..865	
YPM-IZ-106943	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-106954	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-106958	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110251	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110254	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110264	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110268	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110269	874	yes	1..152	153..397	398..551	552..874	
YPM-IZ-110276	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110277	876	yes	1..152	153..399	400..553	554..876	
YPM-IZ-110278	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110433	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110434	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110436	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110438	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110443	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110460	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110467	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-110468	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-110469	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-110470	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-110471	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110473	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110474	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110480	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110515	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110520	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110526	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110556	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-110557	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-110558	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-110566	875	yes	1..152	153..398	399..552	553..875	
